,Annotator 2 - Actionability,Annotator 3 - Actionability
0,2,2
1,2,2
2,2,2
3,3,2
4,3,2
5,2,2
6,3,2
7,3,2
8,3,2
9,2,3
10,2,3
11,2,3
12,3,3
13,2,3
14,3,3
15,2,2
16,2,2
17,2,2
18,2,3
19,2,2
20,2,3
21,2,2
22,2,2
23,2,2
24,2,3
25,3,3
26,2,3
27,2,2
28,2,2
29,2,2
30,2,3
31,2,2
32,2,3
33,2,2
34,2,2
35,2,2
36,2,2
37,2,2
38,2,2
39,1,2
40,2,2
41,2,3
42,2,3
43,2,2
44,2,2
45,2,2
46,2,2
47,2,2
48,2,3
49,2,2
50,3,2
51,1,2
52,3,2
53,2,2
54,2,3
55,2,3
56,2,3
57,2,2
58,2,2
59,2,2
60,3,2
61,2,2
62,3,2
63,1,2
64,2,2
65,2,2
66,3,3
67,3,3
68,3,3
69,2,2
70,2,2
71,2,2
72,3,3
73,2,2
74,2,2
75,2,2
76,2,2
77,2,2
78,3,2
79,3,2
80,3,2
81,2,2
82,2,2
83,2,2
84,2,2
85,2,2
86,2,2
87,2,3
88,2,3
89,2,2
90,3,2
91,2,2
92,2,2
93,2,2
94,2,2
95,2,2
96,3,3
97,2,3
98,2,3
99,2,2
100,2,2
101,2,2
102,2,2
103,2,2
104,2,3
105,1,1
106,2,1
107,2,2
108,2,2
109,2,2
110,2,2
111,2,1
112,2,2
113,2,2
114,2,2
115,2,2
116,2,2
117,2,2
118,3,2
119,2,3
120,2,2
121,2,2
122,2,2
123,3,2
124,2,2
125,3,2
126,3,2
127,2,2
128,2,2
129,2,3
130,2,3
131,2,2
132,2,2
133,2,2
134,2,2
135,2,2
136,2,2
137,2,2
138,3,2
139,2,2
140,2,2
141,3,2
142,2,2
143,2,2
144,3,2
145,2,2
146,2,2
147,2,2
148,2,2
149,2,2
150,3,2
151,3,2
152,2,2
153,2,1
154,2,2
155,2,2
156,2,3
157,2,2
158,2,3
159,1,2
160,2,2
161,2,2
162,3,2
163,2,2
164,2,2
165,2,2
166,2,2
167,2,2
168,1,2
169,2,2
170,2,2
171,2,2
172,2,2
173,2,2
174,3,2
175,2,2
176,2,2
177,1,1
178,2,2
179,1,2
180,2,2
181,2,2
182,2,2
183,2,3
184,2,3
185,2,3
186,2,2
187,2,2
188,2,2
189,2,2
190,2,2
191,2,2
192,1,2
193,2,2
194,2,2
195,2,2
196,2,2
197,2,2
198,2,2
199,2,2
200,2,2
201,2,2
202,2,2
203,2,2
204,3,3
205,3,3
206,3,3
207,2,2
208,2,2
209,2,2
210,2,2
211,2,2
212,2,2
213,1,2
214,2,2
215,2,2
216,2,2
217,2,2
218,2,2
219,2,2
220,2,2
221,2,2
222,2,2
223,3,2
224,3,2
225,1,2
226,1,2
227,3,2
228,2,3
229,2,3
230,2,3
231,2,3
232,2,2
233,2,2
234,2,2
235,2,2
236,2,2
237,1,2
238,2,2
239,2,2
240,2,2
241,2,2
242,2,2
243,2,3
244,2,2
245,2,3
246,2,2
247,2,2
248,2,2
249,2,2
250,2,2
251,3,2
252,2,2
253,2,2
254,2,2
255,2,3
256,2,2
257,2,2
258,1,1
259,2,2
260,1,2
261,2,2
262,2,2
263,2,2
264,2,2
265,2,2
266,3,2
267,2,3
268,3,3
269,2,3
270,3,2
271,3,3
272,3,2
273,2,2
274,2,2
275,2,2
276,1,1
277,2,2
278,2,2
279,3,3
280,3,3
281,3,3
282,2,2
283,3,2
284,3,2
285,2,2
286,3,2
287,2,2
288,2,2
289,2,2
290,2,2
291,2,2
292,2,2
293,1,2
294,1,2
295,2,2
296,2,2
297,2,2
298,2,2
299,2,2
300,2,2
301,2,2
302,3,2
303,3,2
304,3,2
305,2,2
306,2,2
307,2,2
308,3,2
309,2,2
310,2,2
311,2,2
312,2,3
313,2,2
314,2,2
315,2,2
316,2,2
317,2,1
318,2,2
319,2,2
320,2,3
321,2,3
322,2,2
323,2,2
324,2,2
325,2,2
326,3,2
327,2,2
328,2,2
329,3,2
330,2,1
331,2,1
332,1,1
333,2,2
334,2,2
335,2,2
336,3,3
337,2,2
338,2,3
339,2,2
340,3,3
341,2,2
342,2,2
343,2,2
344,2,2
345,2,2
346,2,2
347,2,3
348,2,2
349,2,2
350,2,2
351,2,3
352,1,2
353,3,3
354,2,2
355,2,2
356,2,2
357,2,2
358,2,2
359,2,2
360,2,2
361,2,3
362,2,2
363,2,2
364,2,2
365,2,1
366,2,3
367,2,2
368,2,2
369,3,3
370,1,3
371,1,1
372,2,2
373,2,1
374,2,2
375,3,3
376,2,2
377,2,2
378,2,2
379,2,2
380,2,3
381,2,3
382,2,3
383,2,3
384,2,2
385,2,3
386,3,2
387,2,2
